CODIGO_ENTIDAD,CODIGO_UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,NOMBRE_ENTIDAD,SIGLA_ENTIDAD,RUC_ENTIDAD,DIRECCION_ENTIDAD,...10
10960,80302,Cusco,ANTA,ANCAHUASI,Municipalidad Distrital de Ancahuasi,MD-Ancahuasi,20223561510,PZA. DE ARMAS NRO. S/N URB. JOSE CARLOS MARIATEG,
10961,80303,Cusco,ANTA,CACHIMAYO,Municipalidad Distrital de Cachimayo,MD-Cachimayo,20224090189,Av. Leonidas Rodriguez  276,
10962,80304,Cusco,ANTA,CHINCHAYPUJIO,Municipalidad Distrital de Chinchaypujio,MD-CHINCHAYPUJIO,20221643926,Plaza de armas s/n,
10964,80305,Cusco,ANTA,HUAROCONDO,Municipalidad Distrital de Huarocondo,MDH,20165711727,Plaza de armas s/n,
10966,80306,Cusco,ANTA,LIMATAMBO,Municipalidad Distrital de Limatambo,NULL,20200650442,Plaza de armas Limatambo s/n,
10967,80307,Cusco,ANTA,MOLLEPATA,Municipalidad Distrital de Mollepata,NULL,20317920025,Plaza de armas s/n,
10968,80308,Cusco,ANTA,PUCYURA,Municipalidad Distrital de Pucyura,MUNIPUCYURA,20159310192,Plaza de armas s/n,
10969,80309,Cusco,ANTA,ZURITE,Municipalidad Distrital de Zurite,MDZurite,20159309003,Plaza de armas s/n,
10971,80402,Cusco,CALCA,COYA,Municipalidad Distrital de Coya,NULL,20200464819,Plaza de armas 307,
10972,80403,Cusco,CALCA,LAMAY,Municipalidad Distrital de Lamay,MD-Lamay,,Arequipa Plaza de armas s/n,
10973,80404,Cusco,CALCA,LARES,Municipalidad Distrital de Lares,MD - LARES,20159312055,Plaza de armas s/n,
10974,80405,Cusco,CALCA,PISAC,Municipalidad Distrital de Pisac,MDP,20147552506,Plaza Constitucion de Pisac 519,
10975,80406,Cusco,CALCA,SAN SALVADOR,Municipalidad Distrital de San Salvador,NULL,20177395146,Plaza de armas s/n,
10976,80407,Cusco,CALCA,TARAY,Municipalidad Distrital de Taray,MD-TARAY,20171146209,Plaza de armas s/n,
10979,80408,Cusco,CALCA,YANATILE,Municipalidad Distrital de Yanatile,MDY,20177429229,Plaza de armas s/n,
10982,80502,Cusco,CANAS,CHECCA,Municipalidad Distrital de Checca,MDCH,20189848227,Plaza de armas de San Andres de Checca s/n,
10983,80503,Cusco,CANAS,KUNTURKANKI,Municipalidad Distrital de Kunturkanki,NULL,20189848570,Plaza de armas s/n,
10984,80504,Cusco,CANAS,LANGUI,Municipalidad Distrital de Langui,MDL,20209003938,Plaza de armas s/n,
10985,80505,Cusco,CANAS,LAYO,Municipalidad Distrital de Layo,MDL,,Plaza de armas s/n,
10986,80506,Cusco,CANAS,PAMPAMARCA,Municipalidad Distrital de Pampamarca - Cusco,MD-PAMPAMARCA,20220549292,Plaza de armas s/n,
10987,80507,Cusco,CANAS,QUEHUE,Municipalidad Distrital de Quehue,NULL,20201528187,Plaza de armas s/n,
10988,80508,Cusco,CANAS,TUPAC AMARU,Municipalidad Distrital de Túpac Amaru,NULL,20200544413,Plaza de armas Tungasuca s/n,
10990,80602,Cusco,CANCHIS,CHECACUPE,Municipalidad Distrital de Checacupe,NULL,20147495600,Plaza de armas s/n,
10991,80603,Cusco,CANCHIS,COMBAPATA,Municipalidad Distrital de Combapata,MD-COMB,20216274459,Calle Alejandro Velasco 103,
10992,80604,Cusco,CANCHIS,MARANGANI,Municipalidad Distrital de Marangani,NULL,20189921838,Plaza de armas s/n,
10993,80605,Cusco,CANCHIS,PITUMARCA,Municipalidad Distrital de Pitumarca,MD - PITUMARCA,20159345573,Plaza de armas s/n,
10994,80606,Cusco,CANCHIS,SAN PABLO,Municipalidad Distrital de San Pablo - Cusco,MD - SPABLO,20159340181,Plaza de armas San Pablo s/n,
10996,80608,Cusco,CANCHIS,TINTA,Municipalidad Distrital de Tinta,MD - TINTA,20171116041,Plaza de armas 114,
10999,80702,Cusco,CHUMBIVILCAS,CAPACMARCA,Municipalidad Distrital de Capacmarca,NULL,20224796014,Plaza de armas s/n,
11000,80703,Cusco,CHUMBIVILCAS,CHAMACA,Municipalidad Distrital de Chamaca,MDCH,20172494952,Calle Progreso s/n,
11001,80704,Cusco,CHUMBIVILCAS,COLQUEMARCA,Municipalidad Distrital de Colquemarca,NULL,20214936519,Calle Arequipa s/n,
