CODIGO_ENTIDAD,CODIGO_UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,NOMBRE_ENTIDAD,SIGLA_ENTIDAD,RUC_ENTIDAD,DIRECCION_ENTIDAD,...10
2,150131,LIMA,LIMA,SAN ISIDRO,Cuerpo General de Bomberos Voluntarios del Perú,CGBVP,20131366885,Av. Salaverry N° 2495,
4,150113,LIMA,LIMA,JESUS MARIA,Instituto Nacional de Estadística e Informática,INEI,20131369981,Av. Gral. Garzón N° 654-658,
5,150120,LIMA,LIMA,MAGDALENA DEL MAR,Organismo Supervisor de la Inversión en Energía y Minería,OSINERGMIN,20376082114,Calle Bernardo Monteagudo N° 222,
7,150130,LIMA,LIMA,SAN BORJA,Organismo Supervisor de Inversión Privada en Telecomunicaciones,OSIPTEL,20216072155,Calle de la Prosa N° 136,
8,150120,LIMA,LIMA,MAGDALENA DEL MAR,Superintendencia Nacional de Servicios de Saneamiento,SUNASS,20158219655,Jr. Bernardo Monteagudo N° 210 - 216,
10,150113,LIMA,LIMA,JESUS MARIA,Organismo Supervisor de las Contrataciones del Estado,OSCE,20419026809,Av. Gregorio Escobedo cuadra 7 s/n,
16,150101,LIMA,LIMA,LIMA,Congreso de la República,Congreso,20161749126,Plaza Bolívar - Av. Abancay s/n,
19,150113,LIMA,LIMA,JESUS MARIA,La Contraloría General de la República,CGR,20131378972,Jr. Camilo Carrillo N° 114,
22,150101,LIMA,LIMA,LIMA,Registro Nacional de Identificación y Estado Civil,RENIEC,20295613620,"Jr. Bolivia 109, Torre Centro Cìvico",
23,150101,LIMA,LIMA,LIMA,Defensoría del Pueblo,DP,20304117142,Jr. Ucayali N° 388,
24,150101,LIMA,LIMA,LIMA,Tribunal Constitucional,TC,20217267618,Jr. Ancash N° 390 - El Cercado,
72,150108,LIMA,LIMA,CHORRILLOS,Dirección Nacional de Inteligencia,DINI,20502628128,Av. Edmundo Aguilar S/N,
73,230101,TACNA,TACNA,TACNA,Zona Franca y Zona Comercial de Tacna,ZOFRATACNA,20147797011,Av. Panamericana Sur s/n Km 1308,
75,150140,LIMA,LIMA,SANTIAGO DE SURCO,Superintendencia Nacional de Salud,SUSALUD,20377985843,Av. Velasco Astete Nº 1398 esquina con La Floresta,
77,150130,LIMA,LIMA,SAN BORJA,Ministerio de Cultura,CULTURA,20537630222,Av. Javier Prado Este N° 2465,
80,150122,LIMA,LIMA,MIRAFLORES,Superintendencia del Mercado de Valores,SMV,20131016396,Av. Santa Cruz No. 315,
82,150101,LIMA,LIMA,LIMA,Oficina de Normalización Previsional,ONP,20254165035,"Jr. Bolivia N° 109, Lima 1",
83,150101,LIMA,LIMA,LIMA,Superintendencia Nacional de Aduanas y de Administración Tributaria,SUNAT,20131312955,Av. Garcilaso de la Vega N° 1472,
85,150131,LIMA,LIMA,SAN ISIDRO,Comisión Nacional de Investigación y Desarrollo Aeroespacial,CONIDA,20131371889,Luis Felipe Villarán N° 1069,
86,150141,LIMA,LIMA,SURQUILLO,Instituto Geográfico Nacional,IGN,20301053623,Av. Aramburú N° 1190 - 1198,
87,150113,LIMA,LIMA,JESUS MARIA,Servicio Nacional de Meteorología e Hidrología del Perú,SENAMHI,20131366028,Jr. Cahuide Nro. 785,
88,70101,CALLAO,CALLAO,CALLAO,Escuela Nacional de Marina Mercante,ENAMM,20131379430,Av. Progreso  #632. Chucuito,
91,150114,LIMA,LIMA,LA MOLINA,Servicio Nacional de Sanidad Agraria del Perú,SENASA,20131373075,Av. La Molina Nº 1915,
92,150114,LIMA,LIMA,LA MOLINA,Instituto Nacional de Innovación Agraria,INIA,20131365994,Av. La Molina Nº 1981 (Ex Av. La Universidad),
94,150130,LIMA,LIMA,SAN BORJA,Instituto Geológico Minero y Metalúrgico,INGEMMET,20112919377,Av. Canadá N° 1470,
95,150130,LIMA,LIMA,SAN BORJA,Instituto Peruano de Energía Nuclear,IPEN,20131371293,Av. Canadá N° 1470,
98,150104,LIMA,LIMA,BARRANCO,Centro de Formación en Turismo,CENFOTUR,20131372001,Jr. Pedro Martinto N° 320,
102,150101,LIMA,LIMA,LIMA,Fondo Nacional de Desarrollo Pesquero,FONDEPES,20137921601,Av. Petit Thouars N° 115,
103,70101,CALLAO,CALLAO,CALLAO,Instituto del Mar del Perú,IMARPE,20148138886,Esquina Gamarra y Gral. Valle s/n. Chucuito,
104,70101,CALLAO,CALLAO,CALLAO,Instituto Tecnológico de la Producción,ITP,20131369477,"Carretera a Ventanilla Km 5,2",
107,150113,LIMA,LIMA,JESUS MARIA,Seguro Social de Salud,ESSALUD,20131257750,Jr. Domingo Cueto N° 120,
109,150121,LIMA,LIMA,Pueblo Libre,Programa Integral Nacional para el Bienestar Familiar,INABIF,20507920722,Av. San Martín N° 685,
113,150101,LIMA,LIMA,LIMA,Programa Nacional de Asistencia Alimentaria,PRONAA,20508011793,Jr. de la Unión N° 262 - 264,
115,150136,LIMA,LIMA,SAN MIGUEL,Patronato del Parque de Las Leyendas - Felipe Benavides Barreda,PATPAL - FBB,20125645039,Av. Parque de Las Leyendas N° 580-582-586,
116,150131,LIMA,LIMA,SAN ISIDRO,Instituto de Desarrollo de Recursos Humanos,IDREH,20206381257,Av. Jorge Basadre Nº 990,
123,150130,LIMA,LIMA,SAN BORJA,UNIDAD EJECUTORA 002 INICTEL UNI,INICTEL-UNI,20514761826,Av. San Luis N° 1771,
124,150130,LIMA,LIMA,SAN BORJA,Servicio Nacional de Capacitación para la Industria de la Construcción,SENCICO,20131377810,Av. De la Poesía 351,
127,150131,LIMA,LIMA,SAN ISIDRO,Ministerio del Ambiente,MINAM,20492966658,Av. Javier Prado Oeste 1440,
128,150131,LIMA,LIMA,SAN ISIDRO,Instituto Nacional de Defensa Civil,INDECI,20135890031,Calle Dr. Ricardo Angulo Ramírez Nº 694 Urb. Corpac,
131,150122,LIMA,LIMA,MIRAFLORES,Ministerio de Justicia y Derechos Humanos,MINJUS,20131371617,Scipión Llona Nº 350,
132,150131,LIMA,LIMA,SAN ISIDRO,Ministerio del Interior,MININTER,20131366966,Plaza 30 de Agosto s/n Urb. Corpac,
133,150130,LIMA,LIMA,SAN BORJA,Ministerio de Educación,MINEDU,20131370998,Av. La Arqueología cdra 2 con Calle El Comercio San Borja,
134,150101,LIMA,LIMA,LIMA,Ministerio de Economía y Finanzas,MEF,20131370645,Jr. Junín N° 319 Lima cercado,
136,150113,LIMA,LIMA,LA MOLINA,Ministerio de Agricultura y Riego,MINAGRI,20131372931,Av. La Universidad N° 200 ;La Molina  -- Jr. Yauyos N° 258; Lima,
137,150130,LIMA,LIMA,SAN BORJA,Ministerio de Energía y Minas,MEM,20131368829,Av. Las Artes Sur N° 260,
138,150131,LIMA,LIMA,SAN ISIDRO,Ministerio de Comercio Exterior  y Turismo,MINCETUR,20504774288,"Calle Uno Oeste N° 050, Urb. Córpac",
139,150131,LIMA,LIMA,SAN ISIDRO,Ministerio de la Producción,PRODUCE,20504794637,Calle Uno Oeste N° 60. Urb. Córpac,
140,150101,LIMA,LIMA,LIMA,Ministerio de Relaciones Exteriores,RREE,20131380101,Jr. Ucayali N° 318 - Jr. Lampa N° 535,
141,150113,LIMA,LIMA,JESUS MARIA,Ministerio de Trabajo y Promoción del Empleo,MTPE,20131023414,Av. Salaverry 655,
142,150101,LIMA,LIMA,LIMA,Ministerio de la Mujer y Poblaciones Vulnerables,MIMP,20336951527,Jr. Camaná N° 616,
143,150113,LIMA,LIMA,JESUS MARIA,Ministerio de Salud,MINSA,20131373237,Av. Salaverry 801,
144,150101,LIMA,LIMA,LIMA,Ministerio de Transportes y Comunicaciones,MTC,20131379944,Jr. Zorritos 1203,
145,150101,LIMA,LIMA,LIMA,Presidencia del Consejo de Ministros,PCM,20168999926,Jr. Carabaya Cdra. 1 S/N - Lima,
146,150101,LIMA,LIMA,LIMA,Banco Central de Reserva del Perú,BCRP,20122476309,Jr. Santa Rosa (antes Antonio Miró Quesada) N° 441 - 445,
147,150131,LIMA,LIMA,SAN ISIDRO,"Superintendencia de Banca, Seguros y Administradoras Privadas de Fondos de Pensiones",SBS,20131370564,Calle Los Laureles 214,
148,150130,LIMA,LIMA,SAN BORJA,Banco de la Nación,BN,20100030595,Av. Javier Prado Este 2499,
154,150101,LIMA,LIMA,LIMA,Empresa Peruana de Servicios Editoriales S.A.,Editora Perú,20100072751,Av. Alfonso Ugarte N° 873,
161,70101,CALLAO,CALLAO,CALLAO,Servicios Industriales de la Marina S.A.,SIMA-PERÚ S.A.,20100003351,Av. Contralmirante Mora N° 1102 - Base Naval del Callao,
175,150131,LIMA,LIMA,SAN ISIDRO,Fondo de Cooperación para el Desarrollo Social,FONCODES,20509139700,Paseo de la República N° 3101,
178,150131,LIMA,LIMA,SAN ISIDRO,Superintendencia Nacional de Bienes Estatales,SBN,20131057823,Calle Chichón N° 890,
180,70101,CALLAO,CALLAO,CALLAO,Gobierno Regional del Callao,GR-Callao,20505703554,Av. Elmer Faucett 3970,
181,150101,LIMA,LIMA,LIMA,Archivo General de la Nación,AGN,20131370726,Jr. Camaná Nº 125 y Pasaje Piura s/n - Cercado de Lima,
182,150101,LIMA,LIMA,LIMA,Instituto Nacional Penitenciario,INPE,20131370050,Jr. Carabaya N° 456,
183,150140,LIMA,LIMA,SANTIAGO DE SURCO,Superintendencia Nacional de los Registros Públicos,SUNARP,20267073580,"Av. Primavera Nº 1878 - Santiago de Surco, Lima 33",
185,150130,LIMA,LIMA,SAN BORJA,Biblioteca Nacional del Perú,BNP,20131379863,Av. De La Poesia 160,
186,150122,LIMA,LIMA,MIRAFLORES,"Consejo Nacional de Ciencia, Tecnología e Innovación Tecnológica",CONCYTEC,20135727394,Calle Grimaldo del Solar 346,
188,150103,LIMA,LIMA,ATE,Instituto Geofísico del Perú,IGP,20131367008,"Calle Badajoz N° 169 Urb. Mayorazgo, 4 ta. Etapa - Ate",
191,150131,LIMA,LIMA,SAN ISIDRO,Programa Nacional de Saneamiento Urbano,PNSU,20207553698,Avenida Paseo de la Republica 3361,
193,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,Municipalidad Provincial de Chachapoyas,MP-Chachapoyas,20168007168,Jr. Ortiz Arrieta N° 588,
739,60100,CAJAMARCA,CAJAMARCA,NULL,Municipalidad Provincial de Cajamarca,MPC,20143623042,Av. Alameda de los Incas - Qhapac Ñan,
866,70100,CALLAO,CALLAO,NULL,Municipalidad Provincial del Callao,MPC,20131369558,Jr. Paz Soldán 252 - Callao,
872,80101,CUSCO,CUSCO,CUSCO,Municipalidad Provincial del Cusco,MPC,20177217043,Plaza Regocijo S/N - Palacio Municipal,
980,90101,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,Municipalidad Provincial de Huancavelica,MPH,20171725144,Av.Manchego Muños N° 299,
1000,NULL,NULL,NULL,NULL,Embajada del Perú en Alemania,E_Alemania,NULL,Mohrenstrasse 42  10117 Berlín,
1001,NULL,NULL,NULL,NULL,Embajada del Perú en Argentina,E_Argentina,NULL,"Av. Del Libertador 1720, (1425) Capital Federal - Buenos Aires",
1002,NULL,NULL,NULL,NULL,Embajada del Perú en Australia,E_Australia,NULL,"40 Brisbane Avenue, Piso 2, Oficina 1B, Barton 2606 ACT, Canberra",
1003,NULL,NULL,NULL,NULL,Embajada del Perú en Austria,E-Austria,NULL,"Mahlerstrasse 7/22, A-1010 Viena",
1004,NULL,NULL,NULL,NULL,Embajada del Perú en Bélgica,E-Belgica,NULL,"Avenue de Tervueren, 179, 1150 Bruselas",
1005,NULL,NULL,NULL,NULL,Embajada del Perú en Bolivia,E-Bolivia,NULL,Calle Fernando Guachalla Nº 300 Sopocachi La Paz Casilla: 668,
1006,NULL,NULL,NULL,NULL,Embajada del Perú en Brasil,E-Brasil,NULL,S.E.S. Av. Das Nacoes lote 43 Quadra 811 CEP: 70428-900 Brasilia DF,
1008,NULL,NULL,NULL,NULL,Embajada del Perú en Canadá,E-Canadá,NULL,"130 Albert Street, Suite 1901, Ottawa, Ontario - K1P  5G4, Canadá",
1009,NULL,NULL,NULL,NULL,Embajada del Perú en Colombia,E-Colombia,NULL,"Calle 80 A, N° 6-50 Bogotá D.C., Colombia",
1010,NULL,NULL,NULL,NULL,Embajada del Perú en República de Corea,E-RepúblicaCorea,NULL,"Daeyungak Building, Suite 2002, 25-5, Chungmuro 1-Ka, Jung-ku, Seoul, Korea Código Postal 100-706",
1011,NULL,NULL,NULL,NULL,Embajada del Perú en Costa Rica,E-CostaRica,NULL,"Del Mc Donald´s de Plaza del Sol 500 m. Sur y 175 m Este, Curridabat, San José, Costa Rica A.P. 4248-1000 SAN JOSE",
1012,NULL,NULL,NULL,NULL,Embajada del Perú en Cuba,E-Cuba,NULL,"Calle 8 Nº 307, entre 3ª y 5ª Miramar-La Habana, Cuba",
1013,NULL,NULL,NULL,NULL,Embajada del Perú en República Checa,E-RepúblicaCheca,NULL,"Muchova 9, Praga 6 160 00, República Checa",
1014,NULL,NULL,NULL,NULL,Embajada del Perú en Chile,E-Chile,NULL,"Av. Andrés Bello 1751 Providencia, Santiago Casilla Postal: 16277",
1015,NULL,NULL,NULL,NULL,Embajada del Perú en China,E-China,NULL,Sanlitun Bangong Lou 1-91 Beijing 100600,
1017,NULL,NULL,NULL,NULL,Embajada del Perú en Ecuador,E-Ecuador,NULL,"Av. Republica de El Salvador 495 E, Irlanda Quito - Ecuador",
1018,NULL,NULL,NULL,NULL,Embajada del Perú en Egipto,E-Egipto,NULL,"41 Al-Nahda Street, 2nd. Floor Maadi, El Cairo Egipto",
1019,NULL,NULL,NULL,NULL,Embajada del Perú en El Salvador,E-ElSalvador,NULL,"Avenida Masferrer Norte, Casa Nº 17 p, Cumbres de la Escalón, Colonia Escalón - San Salvador, El Salvador",
1020,NULL,NULL,NULL,NULL,Embajada del Perú en España,E-España,NULL,"Calle Príncipe de Vergara Nº 36 5ta. Derecha 28001 Madrid, España",
1021,NULL,NULL,NULL,NULL,Embajada del Perú en Estados Unidos,E-EstadosUnidos,NULL,"1700Massachusetts Ave., N.W. Washington, D.C.20036",
1022,NULL,NULL,NULL,NULL,Embajada del Perú en la Federación Rusa,E-FederacionRusa,NULL,"Calle Sadovaya Triunfalnaya 4 – 10 Piso 5, Moscú 125009",
1024,NULL,NULL,NULL,NULL,Embajada del Perú en Finlandia,E-Finlandia,NULL,"Puistokatu 11 a A11 00140 Helsinki, Finlandia",
1025,NULL,NULL,NULL,NULL,Embajada del Perú en Francia,E-Francia,NULL,"50, Av Kleber, 75116 París",
1026,NULL,NULL,NULL,NULL,Embajada del Perú en Gran Bretaña,E-GranBretaña,NULL,"52 Sloane Street, London SW1X 9SP",
1027,NULL,NULL,NULL,NULL,Embajada del Perú en Grecia,E-Grecia,NULL,"Calle Koumbari 2, Tercer piso, Kolonaki CP 106 - 74, Atenas, Grecia",
1028,NULL,NULL,NULL,NULL,Embajada del Perú en Guatemala,E-Guatemala,NULL,"15 Av. “A” 20-16, Zona 13 Guatemala, C.A. 01013",
1029,NULL,NULL,NULL,NULL,Embajada del Perú en Honduras,E-Honduras,NULL,"Escuela Dowal Casa Nro. 3301, Calle Principal Colonia Linda Vista Tegucigalpa, M.D.C. Honduras, C.A. Casilla Postal 3171",
1031,NULL,NULL,NULL,NULL,Embajada del Perú en India,E-India,NULL,F-3/16 Vasant Vihar Nueva Delhi  - 110057 - India,
1032,NULL,NULL,NULL,NULL,Embajada del Perú en Indonesia,E-Indonesia,NULL,"Menara Rajawali, 12th floor Ide Anak Agung Gde Agung Lot # 5.1 Kawasan Mega Kuningan - Jakarta Selatan 12950",
1033,NULL,NULL,NULL,NULL,Embajada del Perú en Israel,E-Israel,NULL,"Medinat Hayehudim, 60 Herzliya Pituach 46766 Tel Aviv, Israel",
1034,NULL,NULL,NULL,NULL,Embajada del Perú en Italia,E-Italia,NULL,Vía Siacci 2/B segundo piso - 00197 Roma,
1036,NULL,NULL,NULL,NULL,Embajada del Perú en Japón,E-Japón,NULL,"2-3-1, Hiroo, Shibuya – ku,  Tokyo 150-0012",
1037,NULL,NULL,NULL,NULL,Embajada del Perú en Malasia,E-Malasia,NULL,"Wisma Selangor Dredging, 6th Floor, South Block 142-A, Jalan Ampang 50450 Kuala Lumpur, Post Box Nº 18",
1038,NULL,NULL,NULL,NULL,Embajada del Perú en Marruecos,E-Marruecos,NULL,"16, Rue DiIfrane Plaza Perú - Rabat, Marruecos",
1039,NULL,NULL,NULL,NULL,Embajada del Perú en México,E-México,NULL,"Paseo de la Reforma 2601, Colonia Lomas Reforma",
1040,NULL,NULL,NULL,NULL,Embajada del Perú en Nicaragua,E-Nicaragua,NULL,"Hospital Militar (1 Cuadra al Lago, 2 Cuadras Abajo) Casa Nº 325, Barrio Bolonia, Managua, Nicaragua - Casilla Postal: 211",
1042,NULL,NULL,NULL,NULL,Embajada del Perú en Paises Bajos,E-PaisesBajos,NULL,"Nassauplein 4, 2585 EA, La Haya",
1043,NULL,NULL,NULL,NULL,Embajada del Perú en Panamá,E-Panamá,NULL,"Calle 53 Marbella,  Edificio “World Trade Center” Piso 12, Oficina 1203, Apartado Postal 4516, Zona 5 - Panamá",
1044,NULL,NULL,NULL,NULL,Embajada del Perú en Paraguay,E-Paraguay,NULL,"Acá Carayá 215 e/ Corrales, Barrio Bernardino Caballero, Asunción  - Paraguay",
1045,NULL,NULL,NULL,NULL,Embajada del Perú en Polonia,E-Polonia,NULL,"UL. Staroscinska1, M. 3-4, Varsovia, Polonia",
1046,NULL,NULL,NULL,NULL,Embajada del Perú en Portugal,E-Portugal,NULL,"Rua Castilho 50, 4º Dto.1250-071 Lisboa",
1047,NULL,NULL,NULL,NULL,Embajada del Perú en Republica Dominicana,E-RepúblicaDominican,NULL,"Calle Mayreni Nº 31Urb. Los Cacicazgos - Santo Domingo, Distrito Nacional",
1048,NULL,NULL,NULL,NULL,Embajada del Perú en Rumania,E-Rumania,NULL,"Str. Maior Gh.  on u, nr. 10-12 et. 3, ap. 10, Sector 1, 014031, Bucarest, Rumania",
1049,NULL,NULL,NULL,NULL,Embajada del Perú en Santa sede,E-SantaSede,NULL,"Via Di Porta Angelica Nro. 63, Scala A, 3° Piano, 00193 Roma",
1050,NULL,NULL,NULL,NULL,Embajada del Perú en Singapur,E-Singapur,NULL,"390, Orchard Road Nº 12-03 Palais Renaissance Singapore 238871",
1051,NULL,NULL,NULL,NULL,Embajada del Perú en Sudáfrica,E-Sudáfrica,NULL,"200 Saint Patricks Street, Muckleneuk Hill, Pretoria 0083",
1052,NULL,NULL,NULL,NULL,Embajada del Perú en Suecia,E-Suecia,NULL,"Kommerdötsgatan 35 NB, 114 58, Stockholm, Suecia",
1053,NULL,NULL,NULL,NULL,Embajada del Perú en Suiza,E-Suisa,NULL,"Thunstrasse Nro. 36, 3005, Berna",
1054,NULL,NULL,NULL,NULL,Embajada del Perú en Tailandia,E-Tailandia,NULL,"Glas Haus Building, 16 th. Floor 1 Sukhumvit 25 Road, Klongtoey Bangkok 10110 Tailandia",
1056,NULL,NULL,NULL,NULL,Embajada del Perú en Uruguay,E-Uruguay,NULL,"Obligado 1384, Montevideo C.P. 11300 - Uruguay",
1057,NULL,NULL,NULL,NULL,Embajada del Perú en Venezuela,E-Venezuela,NULL,"Av. San Juan Bosco con 2da. Av. San Juan Bosco con 2da. Transversal, Edificio San Juan, Piso 5, Altamira, Caracas (Zona Postal 1060)",
1073,100101,HUANUCO,HUANUCO,HUANUCO,Municipalidad Provincial de Huánuco,MPHCO,20146008845,Jr. General Prado N° 750 - Huánuco,
1147,110101,ICA,ICA,ICA,Municipalidad Provincial de Ica,MPIca,20142167744,Av. Municipalidad N° 182,
1190,120100,JUNIN,HUANCAYO,NULL,Municipalidad Provincial de Huancayo,MPHuancayo,20133696823,Calle Real # 800 (Plaza Huamanmarca),
1313,130100,LA LIBERTAD,TRUJILLO,NULL,Municipalidad Provincial de Trujillo,MPTrujillo,20175639391,Jr. Pizarro N° 412 - Plaza Mayor,
1396,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,Municipalidad Provincial de Chiclayo,MPChiclayo,20141784901,Ca. Elías Aguirre N° 240 - Chiclayo,
1434,150101,LIMA,LIMA,LIMA,Municipalidad Metropolitana de Lima,MUNLIMA,20131380951,Jr. Conde de Superunda N° 141. Lima 1,
1605,160100,LORETO,MAYNAS,NULL,Municipalidad Provincial de Maynas,MPM,20103845590,Echenique 350 - Plaza Sargento Lores,
1652,170100,MADRE DE DIOS,TAMBOPATA,NULL,Municipalidad Provincial de Tambopata,MPT,20162298659,Av. Leon Velarde N° 230 - Segunda cuadra,
1662,180101,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,Municipalidad Provincial de Mariscal Nieto,MPMN,20154469941,Jr. Ancash N° 275,
1682,190100,PASCO,PASCO,NULL,Honorable Municipalidad Provincial de Pasco,HMPP,20176735725,Plazuela Municipal s/n - Chaupimarca,
1710,200100,PIURA,PIURA,NULL,Municipalidad Provincial de Piura,MPPiura,20154477374,Jr. Ayacucho N° 377 - Centro Cívico.,
1772,210101,PUNO,PUNO,PUNO,Municipalidad Provincial de Puno,MPP,20146247084,Jr. Deustua N° 458 - Plaza de Armas,
1957,230101,TACNA,TACNA,TACNA,Municipalidad Provincial de Tacna,MPTacna,20147797100,Calle Inclán N° 404,
1983,240100,TUMBES,TUMBES,NULL,Municipalidad Provincial de Tumbes,MPTumbes,20156696596,Jr. Bolognesi N° 194 - Centro Cívico,
1995,250100,UCAYALI,CORONEL PORTILLO,NULL,Municipalidad Provincial de Coronel Portillo,municportillo,20154572792,Jr. Tacna N° 480,
2022,150101,LIMA,LIMA,LIMA,Jurado Nacional de Elecciones,JNE,20131378549,Av.  Nicolas de Pierola 1080,
5022,150101,LIMA,LIMA,LIMA,Oficina Nacional de Procesos Electorales,ONPE,20291973851,Jr. Washington 1894,
10003,150131,LIMA,LIMA,SAN ISIDRO,Comisión de Promoción del Perú para la Exportación y el Turismo,PROMPERÚ,20307167442,"Calle Uno Oeste Nº 50 Urb. Corpac (Edificio MINCETUR - Piso 13/14), San Isidro, Lima - Perú",
10004,150122,LIMA,LIMA,MIRAFLORES,Agencia Peruana de Cooperación Internacional,APCI,20504915523,"Av. José Pardo 261, Lima 18 - PERU",
10006,150130,LIMA,LIMA,SAN BORJA,Instituto Nacional de Defensa de la Competencia y de la  Protección de la Propiedad Intelectual,Indecopi,20133840533,Calle De La Prosa 104 - San Borja - Lima 41- Perú,
10009,150131,LIMA,LIMA,SAN ISIDRO,Organismo de Formalización de la Propiedad Informal,COFOPRI,20306484479,Av. Paseo de la República N° 3135 - 3137,
10010,150101,LIMA,LIMA,LIMA,Instituto Nacional de Radio y Televisión del Perú,IRTP,20338915471,Av. José Galvez N 1040 Santa Beatriz,
10011,150113,LIMA,LIMA,JESUS MARIA,Ministerio de Defensa,MINDEF,20131367938,Av. De la Peruanidad s/n Edificio Quiñones,
10012,150810,LIMA,HUAURA,SANTA MARIA,Gobierno Regional de Lima,GRL,20530688390,Agua Dulce - Av. Circunvalación S/N,
10015,160101,LORETO,MAYNAS,IQUITOS,Instituto de Investigaciones de la Amazonia Peruana,IIAP,20171781648,Av. Abelardo Quiñones km 2.5,
10018,150101,LIMA,LIMA,LIMA,Banco de Materiales SAC,BANMAT SAC,20100178584,Jr. Cuzco 177 Cercado de Lima,
10020,150101,LIMA,LIMA,LIMA,Proyecto Especial de Infraestructura de Transporte Descentralizado,Provias Descentraliz,20380419247,"Jr. Camana N° 678 - Piso 7, Lima-1",
10021,150131,LIMA,LIMA,SAN ISIDRO,Consejo Nacional de la Magistratura,CNM,20194484365,"Av. Paseo de la República 3285, San Isidro",
10023,150141,LIMA,LIMA,SURQUILLO,Instituto Nacional de Enfermedades Neoplásicas,INEN,20514964778,Av. Angamos Este N° 2520,
10024,150131,LIMA,LIMA,SAN ISIDRO,Organismo Supervisor de la Inversion en Infraestructura de Transporte de Uso Público,OSITRAN,20420248645,Calle Los Negocios Nº 182 -  Surquillo,
10025,150135,LIMA,LIMA,SAN MARTIN DE PORRES,Instituto Nacional de Salud Mental,INSMHDHN,20131376414,Jr. Eloy Espinoza N° 709. Urb. Palao,
10028,70101,CALLAO,CALLAO,CALLAO,Corporación Peruana de Aeropuertos y Aviación Comercial S.A.,CORPAC S.A.,20100004675,Av. Elmer Faucett N° 3400 Aeropuerto Int'l.,
10029,150131,LIMA,LIMA,SAN ISIDRO,Fondo MIVIVIENDA S. A.,FMV S.A.,20414671773,Av. Paseo de la Republica 3121 San Isidro,
10031,150101,LIMA,LIMA,LIMA,Despacho Presidencial,DP,20161704378,"Jr. de la Unión S/N 1ra. Cuadra, Cercado de Lima",
10032,150113,LIMA,LIMA,JESUS MARIA,Instituto Nacional de Salud,INS,20131263130,Capac Yupanqui 1400,
10033,70101,CALLAO,CALLAO,CALLAO,Empresa Nacional de Puertos S.A.,ENAPU S.A.,20100003199,Av. Manco Capac 255 Callao,
10035,150136,LIMA,LIMA,SAN MIGUEL,Universidad Nacional Federico Villarreal,UNFV,20170934289,"Jr. Carlos Gonzales 285, Maranga - San Miguel",
10036,150116,LIMA,LIMA,LINCE,Municipalidad Distrital de Lince,MDL,20131367857,Av. Juan Pardo de Zela Nº 480,
10037,150114,LIMA,LIMA,LA MOLINA,Universidad Nacional Agraria La Molina,UNALM,20147897406,AV. LA MOLINA S/N LA MOLINA,
10038,150101,LIMA,LIMA,LIMA,Instituto Peruano del Deporte,IPD,20135897044,Calle Madre de Dios N° 463- Cercado de Lima,
10039,150130,LIMA,LIMA,SAN BORJA,PERUPETRO S.A.,PERUPETRO,20196785044,Av. Luis Aldana 320,
10040,21809,ANCASH,SANTA,NUEVO CHIMBOTE,Universidad Nacional del Santa,UNS,20148309109,Av. Pacífico 508 - Urb. Buenos Aires,
10041,150130,LIMA,LIMA,SAN BORJA,Ejército del Perú,EP,20131369124,Av. Paseo del Bosque N° 740,
10042,150140,LIMA,LIMA,SANTIAGO DE SURCO,Municipalidad Distrital de Santiago de Surco,MSS,20131367423,Jirón Bolognesi Nº 275 - Cercado de Santiago de Surco,
10043,150101,LIMA,LIMA,LIMA,Academia de la Magistratura,AMAG,20290898685,"Jr. Camaná 669, Lima 1",
10044,150101,LIMA,LIMA,LIMA,Ministerio Público Fiscalía de la Nación,MPFN,20131370301,Av. Abancay Cdra 5  (Sede Central en Lima),
10045,150801,LIMA,HUAURA,HUACHO,Universidad Nacional José Faustino Sánchez Carrión,UNJFSC,20172299742,Ciudad Universitaria Av. Mercedes Indacochea Nº 609 (Puerta Nº 1),
10046,150111,LIMA,LIMA,EL AGUSTINO,Servicio de Agua Potable y Alcantarillado de Lima,SEDAPAL,20100152356,Carretera cdra. 2 - Ramiro Prialé - El Agustino,
10048,150128,LIMA,LIMA,RIMAC,Universidad Nacional de Ingeniería,UNI,20169004359,AV. TÚPAC  AMARU Nº 210,
10049,150102,LIMA,LIMA,ANCON,Municipalidad Distrital de Ancon,MDA,20131378468,Malecon Ferreyros Nro 376 - Balneario Ancon,
10050,150103,LIMA,LIMA,ATE,Municipalidad Distrital de Ate,MuniAte,20131378620,Av. Nicolas Ayllon N° 5818 Vitarte - Ate,
10051,150101,LIMA,LIMA,LIMA,Poder Judicial,PJ,20159981216,Palacio de Justicia - Av. Paseo de la República S/N,
10052,150104,LIMA,LIMA,BARRANCO,Municipalidad Distrital de Barranco,MD-BARRANCO,20131367776,Av. San Martin S/N,
10053,150105,LIMA,LIMA,BREÑA,Municipalidad Distrital de Breña,MD-BREÑA,20131368586,Av. Arica N° 500,
10054,150106,LIMA,LIMA,CARABAYLLO,Municipalidad Distrital de Carabayllo,MD-CARABAYLLO,20131368314,Av. Túpac Amaru 1733,
